date,month,year,region,indicator,data_value,measurement,units,ocean_coastal
1999-07-17,Jul,1999,Chatham,Near surface concentration of chlorophyll a chl a,0.251076,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1999-08-15,Aug,1999,Chatham,Near surface concentration of chlorophyll a chl a,0.284495,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1999-09-17,Sep,1999,Chatham,Near surface concentration of chlorophyll a chl a,0.580341,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1999-10-16,Oct,1999,Chatham,Near surface concentration of chlorophyll a chl a,0.490951,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1999-11-14,Nov,1999,Chatham,Near surface concentration of chlorophyll a chl a,0.516907,Mean,Milligrams/cubic M (mg m⁻³),Ocean
1999-12-17,Dec,1999,Chatham,Near surface concentration of chlorophyll a chl a,0.435867,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2000-01-15,Jan,2000,Chatham,Near surface concentration of chlorophyll a chl a,0.368602,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2000-02-13,Feb,2000,Chatham,Near surface concentration of chlorophyll a chl a,0.478434,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2000-03-17,Mar,2000,Chatham,Near surface concentration of chlorophyll a chl a,0.466137,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2000-04-16,Apr,2000,Chatham,Near surface concentration of chlorophyll a chl a,0.453453,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2000-05-15,May,2000,Chatham,Near surface concentration of chlorophyll a chl a,0.395203,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2000-06-17,Jun,2000,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2000-07-16,Jul,2000,Chatham,Near surface concentration of chlorophyll a chl a,0.27419,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2000-08-14,Aug,2000,Chatham,Near surface concentration of chlorophyll a chl a,0.247015,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2000-09-16,Sep,2000,Chatham,Near surface concentration of chlorophyll a chl a,0.812361,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2000-10-16,Oct,2000,Chatham,Near surface concentration of chlorophyll a chl a,0.445326,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2000-11-14,Nov,2000,Chatham,Near surface concentration of chlorophyll a chl a,0.505583,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2000-12-17,Dec,2000,Chatham,Near surface concentration of chlorophyll a chl a,0.514205,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2001-01-15,Jan,2001,Chatham,Near surface concentration of chlorophyll a chl a,0.428443,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2001-02-13,Feb,2001,Chatham,Near surface concentration of chlorophyll a chl a,0.523072,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2001-03-15,Mar,2001,Chatham,Near surface concentration of chlorophyll a chl a,0.511774,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2001-04-16,Apr,2001,Chatham,Near surface concentration of chlorophyll a chl a,0.529846,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2001-05-16,May,2001,Chatham,Near surface concentration of chlorophyll a chl a,0.369443,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2001-06-14,Jun,2001,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2001-07-17,Jul,2001,Chatham,Near surface concentration of chlorophyll a chl a,0.216575,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2001-08-15,Aug,2001,Chatham,Near surface concentration of chlorophyll a chl a,0.247464,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2001-09-17,Sep,2001,Chatham,Near surface concentration of chlorophyll a chl a,0.784192,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2001-10-16,Oct,2001,Chatham,Near surface concentration of chlorophyll a chl a,0.541989,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2001-11-14,Nov,2001,Chatham,Near surface concentration of chlorophyll a chl a,0.624942,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2001-12-17,Dec,2001,Chatham,Near surface concentration of chlorophyll a chl a,0.467117,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2002-01-15,Jan,2002,Chatham,Near surface concentration of chlorophyll a chl a,0.335027,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2002-02-13,Feb,2002,Chatham,Near surface concentration of chlorophyll a chl a,0.3911,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2002-03-15,Mar,2002,Chatham,Near surface concentration of chlorophyll a chl a,0.355545,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2002-04-16,Apr,2002,Chatham,Near surface concentration of chlorophyll a chl a,0.379438,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2002-05-16,May,2002,Chatham,Near surface concentration of chlorophyll a chl a,0.285407,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2002-06-14,Jun,2002,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2002-07-17,Jul,2002,Chatham,Near surface concentration of chlorophyll a chl a,0.230239,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2002-08-15,Aug,2002,Chatham,Near surface concentration of chlorophyll a chl a,0.281344,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2002-09-17,Sep,2002,Chatham,Near surface concentration of chlorophyll a chl a,0.360504,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2002-10-16,Oct,2002,Chatham,Near surface concentration of chlorophyll a chl a,0.481476,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2002-11-14,Nov,2002,Chatham,Near surface concentration of chlorophyll a chl a,0.503952,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2002-12-17,Dec,2002,Chatham,Near surface concentration of chlorophyll a chl a,0.583694,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2003-01-15,Jan,2003,Chatham,Near surface concentration of chlorophyll a chl a,0.473174,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2003-02-13,Feb,2003,Chatham,Near surface concentration of chlorophyll a chl a,0.559491,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2003-03-15,Mar,2003,Chatham,Near surface concentration of chlorophyll a chl a,0.586446,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2003-04-16,Apr,2003,Chatham,Near surface concentration of chlorophyll a chl a,0.382805,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2003-05-16,May,2003,Chatham,Near surface concentration of chlorophyll a chl a,0.345322,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2003-06-14,Jun,2003,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2003-07-17,Jul,2003,Chatham,Near surface concentration of chlorophyll a chl a,0.24594,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2003-08-15,Aug,2003,Chatham,Near surface concentration of chlorophyll a chl a,0.309778,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2003-09-17,Sep,2003,Chatham,Near surface concentration of chlorophyll a chl a,0.390786,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2003-10-16,Oct,2003,Chatham,Near surface concentration of chlorophyll a chl a,0.440447,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2003-11-14,Nov,2003,Chatham,Near surface concentration of chlorophyll a chl a,0.485989,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2003-12-17,Dec,2003,Chatham,Near surface concentration of chlorophyll a chl a,0.542722,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2004-01-15,Jan,2004,Chatham,Near surface concentration of chlorophyll a chl a,0.541702,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2004-02-13,Feb,2004,Chatham,Near surface concentration of chlorophyll a chl a,0.529753,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2004-03-17,Mar,2004,Chatham,Near surface concentration of chlorophyll a chl a,0.613501,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2004-04-16,Apr,2004,Chatham,Near surface concentration of chlorophyll a chl a,0.497306,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2004-05-15,May,2004,Chatham,Near surface concentration of chlorophyll a chl a,0.534775,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2004-06-17,Jun,2004,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2004-07-16,Jul,2004,Chatham,Near surface concentration of chlorophyll a chl a,0.242474,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2004-08-14,Aug,2004,Chatham,Near surface concentration of chlorophyll a chl a,0.25341,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2004-09-16,Sep,2004,Chatham,Near surface concentration of chlorophyll a chl a,0.466881,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2004-10-16,Oct,2004,Chatham,Near surface concentration of chlorophyll a chl a,0.562006,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2004-11-14,Nov,2004,Chatham,Near surface concentration of chlorophyll a chl a,0.671315,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2004-12-17,Dec,2004,Chatham,Near surface concentration of chlorophyll a chl a,0.557317,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2005-01-15,Jan,2005,Chatham,Near surface concentration of chlorophyll a chl a,0.453616,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2005-02-13,Feb,2005,Chatham,Near surface concentration of chlorophyll a chl a,0.602345,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2005-03-15,Mar,2005,Chatham,Near surface concentration of chlorophyll a chl a,0.552258,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2005-04-16,Apr,2005,Chatham,Near surface concentration of chlorophyll a chl a,0.510493,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2005-05-16,May,2005,Chatham,Near surface concentration of chlorophyll a chl a,0.414411,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2005-06-14,Jun,2005,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2005-07-17,Jul,2005,Chatham,Near surface concentration of chlorophyll a chl a,0.285066,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2005-08-15,Aug,2005,Chatham,Near surface concentration of chlorophyll a chl a,0.572407,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2005-09-17,Sep,2005,Chatham,Near surface concentration of chlorophyll a chl a,0.783425,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2005-10-16,Oct,2005,Chatham,Near surface concentration of chlorophyll a chl a,0.522157,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2005-11-14,Nov,2005,Chatham,Near surface concentration of chlorophyll a chl a,0.527007,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2005-12-17,Dec,2005,Chatham,Near surface concentration of chlorophyll a chl a,0.456356,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2006-01-15,Jan,2006,Chatham,Near surface concentration of chlorophyll a chl a,0.499597,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2006-02-13,Feb,2006,Chatham,Near surface concentration of chlorophyll a chl a,0.42618,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2006-03-15,Mar,2006,Chatham,Near surface concentration of chlorophyll a chl a,0.493227,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2006-04-16,Apr,2006,Chatham,Near surface concentration of chlorophyll a chl a,0.547244,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2006-05-16,May,2006,Chatham,Near surface concentration of chlorophyll a chl a,0.416981,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2006-06-14,Jun,2006,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2006-07-17,Jul,2006,Chatham,Near surface concentration of chlorophyll a chl a,0.257177,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2006-08-15,Aug,2006,Chatham,Near surface concentration of chlorophyll a chl a,0.311748,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2006-09-17,Sep,2006,Chatham,Near surface concentration of chlorophyll a chl a,0.459978,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2006-10-16,Oct,2006,Chatham,Near surface concentration of chlorophyll a chl a,0.511408,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2006-11-14,Nov,2006,Chatham,Near surface concentration of chlorophyll a chl a,0.540513,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2006-12-17,Dec,2006,Chatham,Near surface concentration of chlorophyll a chl a,0.519108,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2007-01-15,Jan,2007,Chatham,Near surface concentration of chlorophyll a chl a,0.539189,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2007-02-13,Feb,2007,Chatham,Near surface concentration of chlorophyll a chl a,0.629194,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2007-03-15,Mar,2007,Chatham,Near surface concentration of chlorophyll a chl a,0.590975,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2007-04-16,Apr,2007,Chatham,Near surface concentration of chlorophyll a chl a,0.5235,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2007-05-16,May,2007,Chatham,Near surface concentration of chlorophyll a chl a,0.428035,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2007-06-14,Jun,2007,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2007-07-17,Jul,2007,Chatham,Near surface concentration of chlorophyll a chl a,0.257678,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2007-08-15,Aug,2007,Chatham,Near surface concentration of chlorophyll a chl a,0.296056,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2007-09-17,Sep,2007,Chatham,Near surface concentration of chlorophyll a chl a,0.534728,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2007-10-16,Oct,2007,Chatham,Near surface concentration of chlorophyll a chl a,0.419252,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2007-11-14,Nov,2007,Chatham,Near surface concentration of chlorophyll a chl a,0.624118,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2007-12-17,Dec,2007,Chatham,Near surface concentration of chlorophyll a chl a,0.551534,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2008-01-15,Jan,2008,Chatham,Near surface concentration of chlorophyll a chl a,0.478505,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2008-02-13,Feb,2008,Chatham,Near surface concentration of chlorophyll a chl a,0.527886,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2008-03-17,Mar,2008,Chatham,Near surface concentration of chlorophyll a chl a,0.504308,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2008-04-16,Apr,2008,Chatham,Near surface concentration of chlorophyll a chl a,0.486878,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2008-05-15,May,2008,Chatham,Near surface concentration of chlorophyll a chl a,0.366482,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2008-06-17,Jun,2008,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2008-07-16,Jul,2008,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2008-08-14,Aug,2008,Chatham,Near surface concentration of chlorophyll a chl a,0.296504,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2008-09-16,Sep,2008,Chatham,Near surface concentration of chlorophyll a chl a,0.797378,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2008-10-16,Oct,2008,Chatham,Near surface concentration of chlorophyll a chl a,0.486244,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2008-11-14,Nov,2008,Chatham,Near surface concentration of chlorophyll a chl a,0.526226,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2008-12-17,Dec,2008,Chatham,Near surface concentration of chlorophyll a chl a,0.410279,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2009-01-15,Jan,2009,Chatham,Near surface concentration of chlorophyll a chl a,0.395052,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2009-02-13,Feb,2009,Chatham,Near surface concentration of chlorophyll a chl a,0.493646,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2009-03-15,Mar,2009,Chatham,Near surface concentration of chlorophyll a chl a,0.550685,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2009-04-16,Apr,2009,Chatham,Near surface concentration of chlorophyll a chl a,0.497182,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2009-05-16,May,2009,Chatham,Near surface concentration of chlorophyll a chl a,0.462469,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2009-06-14,Jun,2009,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2009-07-17,Jul,2009,Chatham,Near surface concentration of chlorophyll a chl a,0.221842,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2009-08-15,Aug,2009,Chatham,Near surface concentration of chlorophyll a chl a,0.32232,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2009-09-17,Sep,2009,Chatham,Near surface concentration of chlorophyll a chl a,0.680534,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2009-10-16,Oct,2009,Chatham,Near surface concentration of chlorophyll a chl a,0.450893,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2009-11-14,Nov,2009,Chatham,Near surface concentration of chlorophyll a chl a,0.607823,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2009-12-17,Dec,2009,Chatham,Near surface concentration of chlorophyll a chl a,0.704856,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2010-01-15,Jan,2010,Chatham,Near surface concentration of chlorophyll a chl a,0.58329,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2010-02-13,Feb,2010,Chatham,Near surface concentration of chlorophyll a chl a,0.689831,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2010-03-15,Mar,2010,Chatham,Near surface concentration of chlorophyll a chl a,0.695172,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2010-04-16,Apr,2010,Chatham,Near surface concentration of chlorophyll a chl a,0.689749,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2010-05-16,May,2010,Chatham,Near surface concentration of chlorophyll a chl a,0.451266,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2010-06-14,Jun,2010,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2010-07-17,Jul,2010,Chatham,Near surface concentration of chlorophyll a chl a,0.367874,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2010-08-15,Aug,2010,Chatham,Near surface concentration of chlorophyll a chl a,0.389678,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2010-09-17,Sep,2010,Chatham,Near surface concentration of chlorophyll a chl a,0.505499,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2010-10-16,Oct,2010,Chatham,Near surface concentration of chlorophyll a chl a,0.592509,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2010-11-14,Nov,2010,Chatham,Near surface concentration of chlorophyll a chl a,0.597314,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2010-12-17,Dec,2010,Chatham,Near surface concentration of chlorophyll a chl a,0.628109,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2011-01-15,Jan,2011,Chatham,Near surface concentration of chlorophyll a chl a,0.716612,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2011-02-13,Feb,2011,Chatham,Near surface concentration of chlorophyll a chl a,0.656007,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2011-03-15,Mar,2011,Chatham,Near surface concentration of chlorophyll a chl a,0.593099,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2011-04-16,Apr,2011,Chatham,Near surface concentration of chlorophyll a chl a,0.480596,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2011-05-16,May,2011,Chatham,Near surface concentration of chlorophyll a chl a,0.517896,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2011-06-14,Jun,2011,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2011-07-17,Jul,2011,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2011-08-15,Aug,2011,Chatham,Near surface concentration of chlorophyll a chl a,0.316394,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2011-09-17,Sep,2011,Chatham,Near surface concentration of chlorophyll a chl a,0.686841,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2011-10-16,Oct,2011,Chatham,Near surface concentration of chlorophyll a chl a,0.614829,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2011-11-14,Nov,2011,Chatham,Near surface concentration of chlorophyll a chl a,0.685331,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2011-12-17,Dec,2011,Chatham,Near surface concentration of chlorophyll a chl a,0.359488,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2012-01-15,Jan,2012,Chatham,Near surface concentration of chlorophyll a chl a,0.362044,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2012-02-13,Feb,2012,Chatham,Near surface concentration of chlorophyll a chl a,0.445174,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2012-03-17,Mar,2012,Chatham,Near surface concentration of chlorophyll a chl a,0.477923,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2012-04-16,Apr,2012,Chatham,Near surface concentration of chlorophyll a chl a,0.447612,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2012-05-15,May,2012,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2012-06-17,Jun,2012,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2012-07-16,Jul,2012,Chatham,Near surface concentration of chlorophyll a chl a,0.311726,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2012-08-14,Aug,2012,Chatham,Near surface concentration of chlorophyll a chl a,0.699408,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2012-09-16,Sep,2012,Chatham,Near surface concentration of chlorophyll a chl a,0.443879,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2012-10-16,Oct,2012,Chatham,Near surface concentration of chlorophyll a chl a,0.520971,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2012-11-14,Nov,2012,Chatham,Near surface concentration of chlorophyll a chl a,0.503823,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2012-12-17,Dec,2012,Chatham,Near surface concentration of chlorophyll a chl a,0.364957,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2013-01-15,Jan,2013,Chatham,Near surface concentration of chlorophyll a chl a,0.476266,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2013-02-13,Feb,2013,Chatham,Near surface concentration of chlorophyll a chl a,0.539661,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2013-03-15,Mar,2013,Chatham,Near surface concentration of chlorophyll a chl a,0.564984,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2013-04-16,Apr,2013,Chatham,Near surface concentration of chlorophyll a chl a,0.619632,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2013-05-16,May,2013,Chatham,Near surface concentration of chlorophyll a chl a,0.420612,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2013-06-14,Jun,2013,Chatham,Near surface concentration of chlorophyll a chl a,NA,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2013-07-17,Jul,2013,Chatham,Near surface concentration of chlorophyll a chl a,0.326969,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2013-08-15,Aug,2013,Chatham,Near surface concentration of chlorophyll a chl a,0.491125,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2013-09-17,Sep,2013,Chatham,Near surface concentration of chlorophyll a chl a,0.377209,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2013-10-16,Oct,2013,Chatham,Near surface concentration of chlorophyll a chl a,0.737908,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2013-11-14,Nov,2013,Chatham,Near surface concentration of chlorophyll a chl a,0.649829,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2013-12-17,Dec,2013,Chatham,Near surface concentration of chlorophyll a chl a,0.42051500000000003,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2014-01-15,Jan,2014,Chatham,Near surface concentration of chlorophyll a chl a,0.405857,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2014-02-13,Feb,2014,Chatham,Near surface concentration of chlorophyll a chl a,0.420643,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2014-03-15,Mar,2014,Chatham,Near surface concentration of chlorophyll a chl a,0.486283,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2014-04-16,Apr,2014,Chatham,Near surface concentration of chlorophyll a chl a,0.415106,Mean,Milligrams/cubic M (mg m⁻³),Ocean
2014-05-16,May,2014,Chatham,Near surface concentration of chlorophyll a chl a,0.386523,Mean,Milligrams/cubic M (mg m⁻³),Ocean
