HDI rank,Country,Adjusted net savings,Total debt service,Gross capital formation,Skilled labour force,Concentration index exports,Research and development expenditure,Education and health expenditure versus military expenditure,Ratio of education and health expenditure to military expenditure,Overall loss in HDI value due to inequality Change,Gender Inequality Index Change,Income quintile ratio Change
90,Colombia,6.4,28.9,23.4,58.2,0.281,0.2,3.1,3.4,-2.5,-1.8,-1.1
90,Saint Lucia,-1.9,4.2,..,..,0.501,..,..,..,..,..,..
92,Fiji,4.8,5.7,20.0,63.2,0.205,..,0.9,5.3,..,-1.2,-1.3
92,Mongolia,5.4,28.5,36.2,80.0,0.401,0.2,0.7,9.3,-1.4,-2.2,-0.5
94,Dominican Republic,17.1,20.9,21.8,50.2,0.217,..,0.7,..,-2.2,-0.3,-2.0
95,Jordan,14.3,17.2,20.6,..,0.164,0.4,4.8,..,-2.3,-1.5,-1.6
95,Tunisia,-8.6,10.7,19.7,58.4,0.134,0.6,2.1,5.9,-1.8,-1.0,-0.8
97,Jamaica,15.6,40.4,21.8,..,0.441,..,0.9,13.0,0.3,-1.1,..
98,Tonga,13.5,16.2,33.4,..,0.320,..,..,..,..,-1.2,-0.6
99,Saint Vincent and the Grenadines,..,10.9,..,..,0.373,..,..,..,..,..,..
100,Suriname,30.3,..,56.5,44.6,0.489,..,..,..,-1.0,-0.8,..
101,Botswana,29.9,1.9,24.3,..,0.876,0.5,3.1,..,..,-1.5,-2.1
101,Maldives,..,3.7,..,32.3,0.769,..,..,..,7.1,-1.5,-0.2
103,Dominica,..,9.1,..,..,0.412,..,..,..,..,..,..
104,Samoa,..,8.7,..,84.6,0.323,..,..,..,..,-1.7,..
105,Uzbekistan,..,..,24.9,..,0.386,0.2,..,..,..,..,..
106,Belize,0.8,10.1,19.0,39.8,0.356,..,1.2,11.7,-3.2,-1.4,..
106,Marshall Islands,..,..,16.0,..,0.630,..,..,..,..,..,..
108,Libya,41.5,..,29.8,..,0.542,..,9.1,..,..,-3.1,..
108,Turkmenistan,..,..,47.2,..,0.722,..,..,..,-4.3,..,..
110,Gabon,..,..,32.4,..,0.761,0.6,2.1,4.5,0.9,-0.8,0.0
110,Paraguay,7.7,11.0,19.5,43.8,0.336,0.1,1.2,9.6,0.5,-1.1,-1.7
112,Moldova (Republic of),13.8,13.0,23.3,60.7,0.165,0.4,0.4,51.4,-3.3,-1.9,-3.8
113,Philippines,28.4,12.6,25.0,30.6,0.287,0.1,1.4,..,-0.8,-0.7,-0.6
113,South Africa,-0.1,13.2,18.6,47.2,0.121,0.7,1.0,12.6,1.0,-0.7,0.4
115,Egypt,2.3,18.9,15.3,58.1,0.154,0.7,1.4,..,0.9,-1.9,-0.1
116,Indonesia,16.0,39.6,33.5,40.8,0.128,0.1,0.8,7.8,0.9,-1.3,..
116,Viet Nam,18.4,3.9,25.8,32.8,0.173,0.4,2.3,5.5,0.8,-0.3,-0.3
118,Bolivia (Plurinational State of),..,9.3,22.2,45.2,0.324,0.2,1.8,6.9,-4.6,-1.6,-5.4
119,"Palestine, State of",..,..,22.8,47.6,0.185,0.5,..,..,..,..,-0.4
120,Iraq,-13.0,..,17.4,28.4,0.937,0.0,3.8,..,..,..,..
121,El Salvador,4.1,19.9,16.9,38.5,0.221,0.1,1.0,9.7,-2.8,-1.6,-4.0
122,Kyrgyzstan,-1.0,18.6,32.2,92.1,0.316,0.1,2.9,4.1,-5.0,-3.5,-2.2
123,Morocco,21.0,10.9,33.2,20.3,0.175,0.7,3.2,..,..,-1.5,0.0
124,Nicaragua,15.1,16.0,29.0,27.7,0.219,0.1,0.6,..,-1.0,-1.3,-0.9
125,Cabo Verde,8.6,5.8,37.3,47.7,0.325,0.1,0.5,18.2,..,..,-2.1
125,Guyana,18.0,5.3,30.1,..,0.491,..,1.6,6.8,0.0,-0.5,..
127,Guatemala,2.3,22.3,12.1,19.0,0.133,0.0,0.4,21.9,-2.3,-1.1,-2.7
127,Tajikistan,-6.5,28.1,31.1,80.2,0.349,0.1,1.2,9.9,-4.1,-0.9,0.4
129,Namibia,2.7,..,17.7,31.4,0.275,0.3,3.3,..,-3.1,-0.9,-1.1
130,India,15.5,17.3,30.8,18.5,0.120,0.6,2.5,3.1,-1.4,-1.3,..
131,Micronesia (Federated States of),..,..,..,..,0.835,..,..,..,..,..,-0.3
132,Timor-Leste,21.2,..,16.2,38.8,0.579,..,0.9,..,-2.4,..,-2.9
133,Honduras,18.5,15.4,23.8,27.9,0.212,..,1.6,9.1,-2.3,-0.9,-4.4
134,Bhutan,23.6,11.6,47.2,21.1,0.372,..,..,..,..,..,-2.7
134,Kiribati,..,..,..,..,0.892,..,..,..,..,..,..
136,Bangladesh,26.0,4.7,30.5,27.2,0.406,..,1.5,3.5,-2.6,-1.2,0.0
137,Congo,-22.6,1.8,26.6,..,0.669,..,5.6,..,-4.1,-0.6,1.6
138,Vanuatu,22.9,1.8,26.4,..,0.532,..,..,..,..,..,..
139,Lao People's Democratic Republic,-1.0,12.9,29.0,33.2,0.204,..,0.2,31.1,0.7,-1.3,1.9
140,Ghana,-14.8,10.5,16.1,24.8,0.428,0.4,0.4,17.2,2.0,-0.5,-0.4
141,Equatorial Guinea,..,..,12.1,..,0.681,..,0.2,..,..,..,..
142,Kenya,0.8,10.6,19.3,..,0.196,0.8,1.3,8.0,-2.4,-1.3,0.0
143,Sao Tome and Principe,..,2.9,..,..,0.593,..,..,..,..,..,-0.7
144,Eswatini (Kingdom of),12.3,2.1,12.4,15.8,0.229,..,2.0,7.7,-2.4,-0.6,0.7
144,Zambia,10.9,8.6,38.2,..,0.664,0.3,1.3,..,1.2,-1.3,2.3
146,Cambodia,6.2,6.0,22.9,9.7,0.286,0.1,2.1,4.9,-4.7,-1.3,..
147,Angola,-38.4,26.5,7.8,11.2,0.934,..,2.5,..,-2.7,..,..
148,Myanmar,23.9,0.8,32.9,17.7,0.289,..,2.5,..,..,..,..
149,Nepal,32.5,8.9,42.5,24.7,0.147,0.3,1.6,6.3,-2.8,-2.2,-3.3
150,Pakistan,14.7,15.4,16.1,28.3,0.214,0.2,3.5,1.5,-0.2,-0.8,-0.6
151,Cameroon,2.3,6.3,21.6,21.1,0.407,..,1.2,6.3,0.1,-1.1,4.1
152,Solomon Islands,-6.4,3.9,14.6,..,0.713,..,..,..,..,..,-3.5
153,Papua New Guinea,..,49.1,..,27.2,0.286,..,0.3,..,..,0.7,..
154,Tanzania (United Republic of),13.3,5.4,24.8,5.1,0.322,0.5,1.1,9.4,-1.8,-0.8,-0.5
155,Syrian Arab Republic,..,3.1,27.8,..,0.165,..,4.1,..,..,0.1,..
156,Zimbabwe,-20.7,13.4,16.9,13.4,0.366,..,1.9,7.1,..,-0.8,..
157,Nigeria,3.3,6.3,15.3,..,0.734,0.2,0.4,..,-2.4,..,1.1
158,Rwanda,-6.7,8.3,23.4,6.8,0.327,..,1.2,11.9,-2.7,-1.8,-1.3
159,Lesotho,6.5,4.2,28.3,31.2,0.278,0.1,2.0,..,-1.3,-0.6,1.1
159,Mauritania,-12.7,13.2,56.8,6.0,0.360,..,2.9,2.6,-0.9,..,-2.4
161,Madagascar,6.5,3.7,15.2,38.4,0.300,0.0,0.6,9.0,-1.6,..,2.0
162,Uganda,-10.8,18.8,24.0,..,0.170,0.5,1.8,5.4,-1.7,-1.1,-0.7
163,Benin,3.8,3.5,28.6,17.9,0.312,..,1.3,7.6,0.6,-0.6,13.3
164,Senegal,8.0,10.5,28.5,11.8,0.215,0.5,1.9,7.0,-1.4,-1.5,0.4
165,Comoros,2.1,0.6,20.9,..,0.683,..,..,..,0.5,..,-2.5
165,Togo,-31.0,3.2,26.4,7.2,0.204,0.3,1.9,6.9,-0.5,-0.9,..
167,Sudan,-5.2,6.4,18.9,..,0.648,0.3,3.5,..,..,-1.3,..
168,Afghanistan,-28.5,3.5,17.7,..,0.319,..,0.9,13.6,..,-1.0,..
168,Haiti,22.2,5.2,43.4,..,0.509,..,0.0,..,-0.6,0.3,..
170,Côte d'Ivoire,25.9,6.4,22.6,8.8,0.376,..,1.2,6.0,0.3,-0.3,0.5
171,Malawi,-19.1,5.0,13.4,11.7,0.415,..,0.8,23.4,-0.8,-0.4,3.3
172,Djibouti,..,7.1,50.4,..,0.224,..,3.6,..,-0.6,..,2.9
173,Ethiopia,4.0,21.0,39.0,7.3,0.302,0.6,0.7,10.6,-2.5,-1.5,6.3
174,Gambia,-16.9,15.2,19.2,12.9,0.353,0.1,1.5,7.7,-0.7,-0.4,-4.2
175,Guinea,..,2.6,43.1,..,0.448,..,1.6,3.0,-1.9,..,-3.3
176,Congo (Democratic Republic of the),-12.4,4.3,20.8,44.4,0.509,0.1,0.8,5.1,-2.3,-0.2,0.3
177,Guinea-Bissau,-18.7,0.7,10.5,..,0.876,..,1.6,3.3,-1.0,..,10.0
178,Yemen,-10.0,18.8,1.7,30.9,0.349,..,4.0,..,-1.0,0.2,1.1
179,Eritrea,..,..,10.0,..,0.402,..,..,..,..,..,..
180,Mozambique,-15.8,12.6,35.6,8.0,0.270,0.3,0.8,11.3,-4.0,-1.0,3.9
181,Liberia,-39.3,2.9,20.1,19.8,0.331,..,0.6,13.8,-2.2,-0.3,..
182,Mali,-5.0,4.2,19.9,5.2,0.737,0.6,3.0,4.1,-1.6,-0.5,-2.7
183,Burkina Faso,-8.4,4.4,25.5,4.0,0.750,0.2,1.5,6.8,-1.6,-0.4,-3.4
184,Sierra Leone,-29.5,6.6,20.1,16.3,0.658,..,0.8,23.0,-1.0,-0.3,-2.4
185,Burundi,-28.9,16.7,16.9,..,0.445,0.1,1.8,6.1,-1.4,-0.9,..
186,Chad,..,..,21.4,..,0.738,..,2.1,1.4,-0.4,..,3.2
187,South Sudan,..,..,17.3,..,..,..,4.6,0.4,..,..,..
188,Central African Republic,..,..,17.7,..,0.460,..,1.4,..,0.0,-0.2,8.6
189,Niger,2.6,6.3,33.7,1.9,0.297,..,2.5,7.1,-2.0,-0.6,-3.5
